OID_,lst_2015sp,lst_2015su,lst_2015au,lst_2015wi,lst_2016sp,lst_2016su,lst_2016au,lst_2016wi,lst_2017sp,lst_2017su,lst_2017au,lst_2017wi,lst_2018sp,lst_2018su,lst_2018au,lst_2018wi,lst_2019sp,lst_2019su,lst_2019au,lst_2019wi,lst_2020sp,lst_2020su,lst_2020au,lst_2020wi,lst_2021sp,lst_2021su,lst_2021au,lst_2021wi,lst_2022sp,lst_2022su,lst_2022au,lst_2022wi,lst_2023sp,lst_2023su,lst_2023au,lst_2023wi
354,18.14900864,38.2401302,34.72640564,23.33927201,27.31442927,47.74906184,43.49704496,25.65498056,38.64687458,45.3154316,35.33139518,21.13464911,36.36363722,48.85650032,36.98913488,26.0207087,32.83794959,43.63205675,34.7366597,23.22476834,31.33402079,41.48383118,31.59549932,26.10957722,33.53351666,38.73061607,34.85970842,24.97479458,31.80399854,40.45500716,41.11468502,24.92865131,34.05989174,42.83053106,30.39064727,24.18523196
355,26.9777543,38.65371062,34.35213245,23.82633986,26.55733784,48.30278108,35.984237,25.08417122,37.66590284,42.91769057,35.44077182,22.46254988,35.07504368,49.19830232,36.3431291,23.56315232,32.04155093,42.9569978,36.00474512,22.13271095,30.77859254,42.25288568,33.1985507,26.5505018,35.74839362,33.25665704,33.84113846,26.69234963,31.59891734,43.01852216,41.02239848,25.0807532,33.23614892,44.13279668,31.39383614,25.44306332
356,20.57580284,37.33606391,31.3015496,22.91714654,25.33368668,45.08642426,41.80512506,26.06343395,36.40123544,42.991178,34.80160208,21.7481837,35.27328884,49.76911166,36.26109662,26.76925508,31.21951712,42.7006463,36.04405235,21.72083954,29.5754495,39.97306634,32.18681678,26.39839991,34.2239567,38.16835178,33.10284614,25.56269402,31.02127196,45.58545518,39.55264988,24.97137656,29.86939922,40.33366745,28.95336986,25.20380192
357,17.4585686,38.80068548,32.11503836,20.98425623,25.77461126,47.263703,41.15228324,24.68426288,37.08142142,43.36032416,33.2327309,19.26157415,34.80672911,47.35257152,35.75522966,23.66056589,31.75785527,42.42549569,33.73859786,18.89242799,29.29004483,40.256762,31.01785394,23.24356745,34.0872359,36.65587793,33.74885192,21.98915411,30.10866062,38.79043142,39.76798514,21.89686757,32.26714025,43.18087811,29.48316296,21.90541262
358,16.77838262,38.035049,33.58478696,22.25917769,25.78828334,47.09622002,42.07514864,24.66033674,38.32216268,43.59958556,34.36751354,20.45959016,35.41000964,48.08060978,35.74155758,25.13715053,31.89286706,42.47163896,32.9592893,21.21497258,30.12916874,41.01898046,30.86062502,25.2516542,33.54377072,38.55117002,34.15901432,24.30657167,30.65896184,39.62613731,40.29777824,24.13737968,33.25665704,44.23191926,29.93263259,23.6280947
359,26.00020058,37.00280696,32.04155093,22.38906245,23.91349937,45.26074328,38.57509616,24.70818902,36.32262098,37.49329283,31.76469131,20.05284578,31.6946219,47.48929232,34.30598918,22.70864732,29.85914516,39.64835444,32.55083591,20.31603332,29.45240078,35.57065658,31.00589087,25.09100726,33.57111488,30.46242569,30.25392647,24.2433383,29.17212314,45.20947298,37.12243766,22.8932204,27.96556208,41.27533196,26.9777543,23.78874164
360,24.92352428,37.93592642,34.17097739,23.679365,26.48897744,49.0410734,42.73140848,24.89618012,38.53749794,41.4017987,35.04940853,21.89515856,35.63559896,50.16218396,37.10876558,23.337563,31.69803992,43.56882338,35.82017204,21.65077013,31.1477387,42.31611905,32.1902348,26.43428912,36.67809506,33.77277806,33.14044436,26.00532761,31.45877852,42.55708946,40.48747835,25.03973696,33.60016805,40.50627746,30.89993225,24.7389512
361,18.09432032,40.47551528,35.91245858,25.03290092,34.45125503,47.90629076,43.28512772,26.79659924,35.99107304,41.111267,36.21837137,22.87442129,35.85777026,50.0664794,38.12391752,28.83032114,32.59697918,44.83178177,35.17416626,23.7306353,30.53933114,41.56586366,34.20003056,28.09373783,35.06820764,41.09759492,37.53089105,26.84445152,33.66681944,44.28660758,40.93352996,26.80001726,34.22224769,39.83292752,30.08302547,26.58810002
362,13.15869944,40.48235132,31.2160991,23.20426022,30.08131646,45.4179722,33.10797317,26.32662149,36.55846436,43.0424483,33.83942945,20.93127692,33.3010913,48.35405138,36.86608616,27.1828355,32.67901166,nan,32.70464681,17.54572811,30.22145528,39.11685233,31.11697652,26.67867755,34.03254758,37.46423966,33.9676052,24.86370893,31.6604417,45.80079044,35.03231843,25.90449602,29.99244794,40.36442963,28.71410846,25.0978433
363,15.44877284,37.009643,32.26884926,22.06435055,25.48237055,47.45511212,35.29037894,25.26019925,34.0359656,41.37445454,33.15069842,19.94005112,32.40044303,nan,34.96908506,24.97137656,31.16995583,37.14807281,30.93411245,20.74499483,28.66625618,38.08973732,11.29587854,24.59197634,36.59777159,37.07116736,33.3181814,24.29119058,30.06764438,40.69768658,38.35292486,23.9015363,35.48178806,39.87394376,26.55391982,22.9274006
